title,salary,company_name,company_rating,job_type
DATA SCIENTIST,"£50,000 - £70,000 a year",Cloud Decisions,Nan,Remote
Data Scientist,Full-time,Lloyds Banking Group,3.7,Edinburgh
Data Scientist,"£66,861 - £74,290 a year",Ageas,3.5,Remote in Chandlers Ford
Health Data Scientist,Full-time,University of Oxford,4.3,Oxford OX3
Data Scientist,"Full-time
+1",Department for Business and Trade,London,+1 location
Lead Data Scientist,"Up to £40,745 a year",Scottish Government,4.1,Remote in Edinburgh EH6
Junior Data Scientist,"Full-time
+1",MarketCast,4.1,Reading
Lead Data Scientist,"£42,250 - £57,550 a year",Lloyds Banking Group,3.7,Edinburgh
Data Scientist,"Full-time
+2",Gamcare,2.6,Remote in London
Data Scientist (AI),"£52,355 - £65,276 a year",Air Apps,Nan,Remote
Senior Molecular Data Scientist,"£30,000 - £35,000 a year",Novo Nordisk,4.1,Oxford
Junior Data Scientist,"£85,255 - £100,300 a year",Artesia Consulting Limited,Nan,Hybrid remote in Bristol BS37
Model Risk Data Scientist (12 months),Full-time,NatWest Group,3.7,Edinburgh
Data Scientist,Permanent,Sumo Digital Ltd,3.8,Sheffield
Animal Data Scientist - Higher Scientific Officer,Full-time,Northern Ireland Civil Service,3.9,Belfast
Associate Data Scientist,"£27,000 - £32,000 a year",East Suffolk and North Essex NHS Foundation Trust,3.7,Colchester CO4
Graduate Data Scientist/Physicist,Full-time,Weatherford,Nan,3.9
Data Scientist,"Full-time
+1",Omnicom Health Group,Nan,Bollington SK10
Data Scientist,"£48,614 - £57,041 a year","Department for Business and Trade - Digital, Data...",Nan,Hybrid remote in London
Higher Scientist - Data Science,"Full-time
+1",National Physical Laboratory,3.8,Cambridge
Data Scientist,"Full-time
+1",HM Treasury,4.0,London
"Manager, Clinical Data Scientist, Clinical Data Sciences",Monday to Friday,Pfizer,4.2,Walton-on-Thames
Asset Modelling Data Scientist Lead,Full-time,Northumbrian Water/Essex & Suffolk Water,3.5,Durham DH1
Data Scientist,"£33,963 - £39,955 a year",comparethemarket.com,3.8,Hybrid remote in London
Lead Data Scientist,"Full-time
+1",Aviva,3.9,Norwich
Data Scientist,"£80,000 - £120,000 a year",Craneware,3.2,Hybrid remote in Edinburgh
Data Scientist,Permanent,Attest,Nan,Remote in London
Data Scientist - Commercial Sport,"£33,348 - £44,414 a year",Data Idols,Nan,Hybrid remote in Manchester
Data Scientist,Fixed term contract,Kingfisher,Nan,London W2
Data Scientist,Full-time,Cromwell Group,Nan,Leicester
Data Scientist,Full-time,Intechnica,Nan,Manchester
Data Scientist: Computational Biology of Haematological Cancers,Internship,University of Leeds,4.2,Leeds
Product Data Scientist,"£32,000 - £45,000 a year",muzmatch,Nan,London
Data Scientist,Full-time,Data Idols,Nan,London
Data Scientist,"Monday to Friday
+1",Kadence,Nan,Hybrid remote in Belfast BT1
Senior Data Scientist,Full-time,George Eliot Hospital NHS Trust,3.7,Nuneaton CV10
Data Scientist – NLP,Permanent,Propel Together,Nan,Remote in Glasgow G2
Environmental Data Scientist (Net Zero),"£29,970 - £38,500 a year",University of Leicester Recruitment Team,4.1,Leicester LE1
DATA SCIENTIST,"Full-time
+2",Chi Square Gaming,Nan,London
Data Scientist,Full-time,Elsewhen,Nan,Remote in London EC2A
Data Scientist,"Up to £67,000 a year",Simmons & Simmons LLP,3.4,London
Graduate Data Scientist,"Full-time
+1",Crowder Consulting,2.3,Birkenhead
Data Scientist,"£40,000 - £70,000 a year",Calyx,Nan,Nottingham
Data Scientist,"£65,000 - £70,000 a year",Lloyd's Register Group,3.7,Hybrid remote in Southampton
Senior Data Scientist,Permanent,KANTAR,3.7,Hybrid remote in London
"Senior Data Scientist, MarTech",Full-time,Monzo,3.7,Remote in London
Data Science Core Developer,"£36,333 - £43,155 a year",Kwalee,4.1,Hybrid remote in Leamington Spa
Lead Data Scientist,"Full-time
+1",Data Idols,Nan,London
Insurance Data Scientist,"£30,000 - £60,000 a year",Direct Line Group,3.3,Hybrid remote in London
Data Scientist,Full-time,PICTET,Nan,London
Partner - Data Science & Strategy,"Up to £65,000 a year",Ekimetrics,Nan,London
Data Scientist,Permanent,Intellium AI,Nan,Bristol
Data Scientist,"£28,407 - £34,581 a year",Harnham,4.6,Hybrid remote in London
Senior Data Scientist - Darwin Insurance,Full-time,Direct Line Group,3.3,Bromley
Pricing Data Scientist,"£60,000 - £80,000 a year",Halfords,3.2,Hybrid remote in Redditch
Data Computational Scientist,"£37,386 - £43,155 a year",Science and Technology Facilities Council (STFC),4.0,Warrington
Senior Data Scientist,"Full-time
+1",ASDA,3.3,Hybrid remote in Leeds LS11
Data Science Industrial Placement 2023,"£60,000 a year",Marks & Spencer,3.8,London
Senior Data Scientist,"Full-time
+1",Xcede,3.4,London
Data Scientist,Monday to Friday,Tessian,Nan,Remote in London
Decision Scientist,Full-time,Datasource,Nan,Bristol
Data Scientist,Full-time,Booz Allen Hamilton,3.9,Hybrid remote in Cambridgeshire
DATA SCIENTIST,Part-time,Tradeteq,Nan,London
DATA SCIENTIST,Full-time,DataSpartan Consulting,Nan,London
Customer Data Scientist,"£80,000 - £90,000 a year",Harnham,4.6,London
Decision Scientist,Permanent,Datasource,Nan,Bristol
DATA SCIENTIST,Full-time,Tradeteq,Nan,London
Data Scientist (London – Hybrid),"£100,000 - £200,000 a year",Harnham,4.6,Hybrid remote in London
Data Scientist,Full-time,Kindred Group,3.1,London
Senior Data Scientist – NLP & MLOps,"£65,000 - £75,000 a year",Propel Together,Nan,Remote in London
Senior Data Scientist,Permanent,Domestic & General (D&G),2.9,Wimbledon
Senior Data Scientist,Full-time,SymphonyAI,Nan,Remote in London
Benchmarking Data & Analysis Lead,Full-time,Cabinet Office,4.0,Glasgow G2
"London - Computer, Data Science & Maker Space - Technical Specialist","£39,748 - £44,166 a year",York St John University,4.0,London
Senior Data Scientist,Full-time,Monzo,3.7,Remote in London
Data Scientist,"Full-time
+1","Big Fish Games, Inc.",Nan,Hybrid remote in London NW1
Lecturer in Pervasive Data Science,Temporary contract,University of Sheffield,4.4,Sheffield
Data Scientist,"£80,000 - £120,000 a year",Understanding Recruitment,Nan,London
Data Scientist,Permanent,Oho Group,Nan,London
Senior Data Scientist,"Full-time
+1",Arm,4.1,Hybrid remote in Cambridge
Data Scientist,"£45,000 - £60,000 a year",Aristocrat,3.4,Hybrid remote in London NW1
Senior Data Scientist,Permanent,Resource Solutions.,Nan,London
DATA SCIENTIST,"Full-time
+1",Beauty Labs,Nan,Remote in Cambridgeshire
Senior Scientist - Materials Data Processing and Data Management,"£50,000 - £60,000 a year",Bristol Myers Squibb,4.1,North Moreton
Pricing Data Scientist,Permanent,Brambles Group,Nan,Hybrid remote in Manchester
Senior Data Scientist,"£45,000 - £60,000 a year",George Eliot Hospital NHS Trust,3.7,Nuneaton CV10
Cyber Security Data Scientist,Permanent,Santander,3.9,Hybrid remote in Shenley
Senior Data Scientist,"£65,000 - £75,000 a year",SymphonyAI,Nan,Remote in London
Senior Data Scientist,Permanent,MS Amlin,3.0,London
Senior Data Scientist,"Full-time
+1",KANTAR,3.7,Hybrid remote in London
